LongEntryThr,-1,-1,,,,RESULTS,zd5,zd10,zd20,COMBO,,,,,Correls,5day,10day,20day,TRY,-0.994766047,-0.301718876,-0.096730749,-2.087140557,-0.983561737,-0.962295287,-0.967506466,0,-0.316111803,,#signals,Lcaps,Scaps,,,,,#signals,Lcaps,Scaps,,,,,#signals,Lcaps,Scaps,,,,,,,,,,,
LongCap,1,1,,,,AvgRet,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,5day,1,#VALUE!,#VALUE!,SOME,-6.25323449,-2.616421677,-2.149303447,-0.027317921,-0.018041763,-1.897716653,-3.749706524,-1.688785518,-3.729939824,Longs,70,#VALUE!,#VALUE!,,,,Longs,85,#VALUE!,#VALUE!,,,,Longs,98,#VALUE!,#VALUE!,,,,,,,,,,,
ShortEntryThr,1,1,,,,Vol,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,10day,,1,#VALUE!,OF,0.683427198,1.436581354,0.944467495,0.920461897,1.319703354,0.71450468,1.118171127,0.658533692,1.439861606,Shorts,77,,,,,,Shorts,84,,,,,,Shorts,100,,,,,,,,,,,,,
ShortCap,-1,-1,,,,Sharpe,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,20day,,,1,THESE,4.579919169,1,6.547321059,3.239922556,3.508214062,3.303750304,2.704990609,-3,4.319928461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holding Period,1,10,,,,Cumret,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,OUT!,32,21,24,19,18,27,19,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,%Time In,100.0%,100.0%,100.0%,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,ticker1,CloseBTC,ret1PEP,BTC_ret5,BTC_ret10,BTC_ret20,zBTC5,zBTC10,zBTC20,ticker2,CloseETH,ret1ETH,ETH_ret5,ETH_ret10,ETH_ret20,zETH5,zETH10,zETH20,zdiff5,zdiff10,zdiff20,vol20BTC,vol20ETH,WtBTC,wtETH,sumwts,wbtc,weth,FRet1,Signal5,Lcap5?,Scap5?,Age5,Aged5?,pos5,fret1_z5,Signal10,Lcap10?,Scap10?,Age10,Aged10?,pos10,fret1_z10,Signal20,Lcap20?,Scap20?,Age20,Aged20?,pos20,fret1_z20,Z5EQ,Z10EQ,Z20EQ,ComboRet,ComboEQ,Agree5_20,Agree5_10
7/10/18,BTC,6296.91,,,,,,,,ETH,432.48,,,,,,,,,,,,,,,,,,,0,0,0,#VALUE!,0,pos5,#VALUE!,0,0,0,#VALUE!,0,pos10,#VALUE!,0,0,0,#VALUE!,0,pos20,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/11/18,BTC,6378.07,0.0129,,,,,,,ETH,444.99,0.0289,,,,,,,,,,,,,,,,,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/12/18,BTC,6250.57,-0.0200,,,,,,,ETH,431.14,-0.0311,,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/13/18,BTC,6214.57,-0.0058,,,,,,,ETH,432.46,0.0031,,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/14/18,BTC,6251.99,0.0060,,,,,,,ETH,433.19,0.0017,,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/15/18,BTC,6353.01,0.0162,0.0089,,,,,,ETH,449.78,0.0383,0.0400,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/16/18,BTC,6723.35,0.0583,0.0541,,,,,,ETH,478.49,0.0638,0.0753,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/17/18,BTC,7317.44,0.0884,0.1707,,,,,,ETH,498.76,0.0424,0.1568,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/18/18,BTC,7381.90,0.0088,0.1878,,,,,,ETH,479.41,-0.0388,0.1086,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/19/18,BTC,7466.21,0.0114,0.1942,,,,,,ETH,468.57,-0.0226,0.0817,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/20/18,BTC,7337.53,-0.0172,0.1550,0.1653,,,,,ETH,449.04,-0.0417,-0.0016,0.0383,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/21/18,BTC,7398.78,0.0083,0.1005,0.1600,,,,,ETH,460.23,0.0249,-0.0382,0.0342,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/22/18,BTC,7394.79,-0.0005,0.0106,0.1831,,,,,ETH,457.47,-0.0060,-0.0828,0.0611,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/23/18,BTC,7721.01,0.0441,0.0459,0.2424,,,,,ETH,450.05,-0.0162,-0.0612,0.0407,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/24/18,BTC,8397.24,0.0876,0.1247,0.3431,,,,,ETH,479.28,0.0649,0.0229,0.1064,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/25/18,BTC,8175.64,-0.0264,0.1142,0.2869,,,,,ETH,472.1,-0.0150,0.0514,0.0496,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/26/18,BTC,7920.00,-0.0313,0.0704,0.1780,,,,,ETH,462.64,-0.0200,0.0052,-0.0331,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/27/18,BTC,8188.57,0.0339,0.1073,0.1190,,,,,ETH,470.09,0.0161,0.0276,-0.0575,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/28/18,BTC,8225.04,0.0045,0.0653,0.1142,,,,,ETH,469.29,-0.0017,0.0428,-0.0211,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/29/18,BTC,8211.00,-0.0017,-0.0222,0.0998,,,,,ETH,466.4,-0.0062,-0.0269,-0.0046,,,,,,,,0.0342,0.0321,1.0000,1.0650,2.0650,0.4843,0.5157,0.0091,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/30/18,BTC,8173.92,-0.0045,-0.0002,0.1140,0.2981,,,,ETH,456.23,-0.0218,-0.0336,0.0160,0.0549,,,,,,,0.0336,0.0318,1.0000,1.0553,2.0553,0.4865,0.5135,0.0007,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/31/18,BTC,7730.93,-0.0542,-0.0239,0.0449,0.2121,,,,ETH,432.22,-0.0526,-0.0658,-0.0609,-0.0287,,,,,,,0.0369,0.0335,1.0000,1.0992,2.0992,0.4764,0.5236,0.0065,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/1/18,BTC,7604.58,-0.0163,-0.0713,0.0284,0.2166,,,,ETH,420.41,-0.0273,-0.1057,-0.0810,-0.0249,,,,,,,0.0367,0.0334,1.0000,1.1004,2.1004,0.4761,0.5239,0.0073,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/2/18,BTC,7525.71,-0.0104,-0.0850,-0.0253,0.2110,,,,ETH,410.62,-0.0233,-0.1250,-0.0876,-0.0505,,,,,,,0.0368,0.0337,1.0000,1.0922,2.0922,0.4780,0.5220,-0.0156,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/3/18,BTC,7418.78,-0.0142,-0.0965,-0.1165,0.1866,,,,ETH,417.52,0.0168,-0.1048,-0.1289,-0.0362,,,,,,,0.0372,0.0340,1.0000,1.0957,2.0957,0.4772,0.5228,-0.0134,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/4/18,BTC,7009.84,-0.0551,-0.1424,-0.1426,0.1034,,,,ETH,407.21,-0.0247,-0.1074,-0.1374,-0.0946,,,,,,,0.0399,0.0330,1.0000,1.2068,2.2068,0.4531,0.5469,-0.0012,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/5/18,BTC,7024.19,0.0020,-0.0914,-0.1131,0.0447,,,,ETH,408.79,0.0039,-0.0542,-0.1164,-0.1457,,,,,,,0.0379,0.0290,1.0000,1.3075,2.3075,0.4334,0.5666,-0.0006,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/6/18,BTC,6934.82,-0.0127,-0.0881,-0.1531,-0.0523,,,,ETH,405.28,-0.0086,-0.0360,-0.1379,-0.1874,,,,,,,0.0322,0.0265,1.0000,1.2148,2.2148,0.4515,0.5485,0.0227,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/7/18,BTC,6720.06,-0.0310,-0.1071,-0.1830,-0.0897,,,,ETH,378.21,-0.0668,-0.0789,-0.1941,-0.2111,,,,,,,0.0327,0.0287,1.0000,1.1376,2.1376,0.4678,0.5322,0.0017,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/8/18,BTC,6285,-0.0647,-0.1528,-0.2346,-0.1582,,,,ETH,355.48,-0.0601,-0.1486,-0.2378,-0.2414,,,,,,,0.0351,0.0307,1.0000,1.1454,2.1454,0.4661,0.5339,0.0064,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/9/18,BTC,6529.79,0.0389,-0.0685,-0.2011,-0.1101,,,,ETH,363.3,0.0220,-0.1078,-0.2037,-0.1909,,,,,,,0.0366,0.0309,1.0000,1.1846,2.1846,0.4578,0.5422,0.0200,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/10/18,BTC,6144.01,-0.0591,-0.1253,-0.2053,-0.1696,,,,ETH,331.81,-0.0867,-0.1883,-0.2323,-0.2790,,,,,,,0.0383,0.0341,1.0000,1.1230,2.1230,0.4710,0.5290,0.0293,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/11/18,BTC,6232.35,0.0144,-0.1013,-0.1804,-0.1572,,,,ETH,317.69,-0.0426,-0.2161,-0.2443,-0.3056,,,,,,,0.0386,0.0346,1.0000,1.1179,2.1179,0.4722,0.5278,0.0054,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/12/18,BTC,6308.33,0.0122,-0.0613,-0.1618,-0.1830,,,,ETH,317.89,0.0006,-0.1595,-0.2258,-0.2937,,,,,,,0.0370,0.0348,1.0000,1.0633,2.0633,0.4847,0.5153,0.0505,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/13/18,BTC,6246.35,-0.0098,-0.0061,-0.1580,-0.2561,,,,ETH,283.81,-0.1072,-0.2016,-0.3202,-0.4078,,,,,,,0.0291,0.0348,1.1961,1.0000,2.1961,0.5446,0.4554,0.0036,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/14/18,BTC,6188.08,-0.0093,-0.0523,-0.1172,-0.2431,,,,ETH,278.41,-0.0190,-0.2337,-0.3163,-0.4103,,,,,,,0.0290,0.0348,1.1994,1.0000,2.1994,0.5453,0.4547,0.0025,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/15/18,BTC,6267.16,0.0128,0.0200,-0.1078,-0.2087,,,,ETH,281.12,0.0097,-0.1528,-0.3123,-0.3924,,,,,,,0.0292,0.0357,1.2191,1.0000,2.2191,0.5494,0.4506,-0.0058,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/16/18,BTC,6311.75,0.0071,0.0127,-0.0898,-0.2292,,,,ETH,287.17,0.0215,-0.0961,-0.2914,-0.3891,,,,,,,0.0276,0.0360,1.3022,1.0000,2.3022,0.5656,0.4344,-0.0214,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/17/18,BTC,6584.49,0.0432,0.0438,-0.0202,-0.1995,,,,ETH,317.51,0.1057,-0.0012,-0.1605,-0.3234,,,,,,,0.0301,0.0460,1.5277,1.0000,2.5277,0.6044,0.3956,0.0111,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/18/18,BTC,6387.96,-0.0298,0.0227,0.0164,-0.2220,,,,ETH,294.11,-0.0737,0.0363,-0.1726,-0.3694,,,,,,,0.0304,0.0476,1.5666,1.0000,2.5666,0.6104,0.3896,0.0015,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/19/18,BTC,6477.53,0.0140,0.0468,-0.0080,-0.2075,,,,ETH,299.42,0.0181,0.0755,-0.1758,-0.3437,,,,,,,0.0309,0.0484,1.5669,1.0000,2.5669,0.6104,0.3896,0.0166,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/20/18,BTC,6254.84,-0.0344,-0.0020,0.0180,-0.1909,,,,ETH,270.51,-0.0966,-0.0377,-0.1847,-0.3741,,,,,,,0.0297,0.0509,1.7122,1.0000,2.7122,0.6313,0.3687,0.0081,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/21/18,BTC,6480,0.0360,0.0267,0.0397,-0.1479,,,,ETH,281.21,0.0396,-0.0208,-0.1148,-0.3311,,,,,,,0.0314,0.0527,1.6777,1.0000,2.6777,0.6265,0.3735,0.0023,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/22/18,BTC,6360.89,-0.0184,-0.0340,0.0083,-0.1548,,,,ETH,270.8,-0.0370,-0.1471,-0.1481,-0.3405,,,,,,,0.0315,0.0528,1.6778,1.0000,2.6778,0.6266,0.3734,0.0090,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/23/18,BTC,6525.01,0.0258,0.0215,0.0446,-0.1205,,,,ETH,275.99,0.0192,-0.0616,-0.0276,-0.3390,,,,,,,0.0323,0.0529,1.6371,1.0000,2.6371,0.6208,0.3792,0.0078,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/24/18,BTC,6681.64,0.0240,0.0315,0.0798,-0.0468,,,,ETH,281.19,0.0188,-0.0609,0.0100,-0.3095,,,,,,,0.0308,0.0536,1.7399,1.0000,2.7399,0.6350,0.3650,0.0097,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
8/25/18,BTC,6733.64,0.0078,0.0765,0.0744,-0.0414,,,,ETH,277.55,-0.0129,0.0260,-0.0127,-0.3210,,,,,,,0.0309,0.0534,1.7293,1.0000,2.7293,0.6336,0.3664,0.0011,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
